"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1992-05-31,"A3",62,8.85714285714286,9,7.26701615585956,14,4.66666666666667,2,4.61880215351701,0,NA,NA,NA,76,10.8571428571429,9,9.42388050696335
1992-05-31,"G4",151,18.875,14,17.6993744845081,106,35.3333333333333,20,35.5715241918776,0,NA,NA,NA,257,32.125,20,32.0242653534561
1992-05-31,"None",18389,123.41610738255,12,258.873941478545,849,22.3421052631579,14,25.7201953628298,0,NA,NA,NA,19238,120.993710691824,15,255.04614863761
1992-05-31,"P5",5264,219.333333333333,25.5,465.973563969932,163,32.6,30,25.0159948832742,0,NA,NA,NA,5427,217.08,30,463.743186832252
1992-06-30,"A3",62,8.85714285714286,9,7.26701615585956,14,4.66666666666667,2,4.61880215351701,0,NA,NA,NA,76,10.8571428571429,9,9.42388050696335
1992-06-30,"G4",151,18.875,14,17.6993744845081,106,35.3333333333333,20,35.5715241918776,0,NA,NA,NA,257,32.125,20,32.0242653534561
1992-06-30,"None",18389,123.41610738255,12,258.873941478545,849,22.3421052631579,14,25.7201953628298,0,NA,NA,NA,19238,120.993710691824,15,255.04614863761
1992-06-30,"P5",5264,219.333333333333,25.5,465.973563969932,163,32.6,30,25.0159948832742,0,NA,NA,NA,5427,217.08,30,463.743186832252
1992-07-31,"A3",62,8.85714285714286,9,7.26701615585956,14,4.66666666666667,2,4.61880215351701,0,NA,NA,NA,76,10.8571428571429,9,9.42388050696335
1992-07-31,"G4",151,18.875,14,17.6993744845081,106,35.3333333333333,20,35.5715241918776,0,NA,NA,NA,257,32.125,20,32.0242653534561
1992-07-31,"None",18389,123.41610738255,12,258.873941478545,849,22.3421052631579,14,25.7201953628298,0,NA,NA,NA,19238,120.993710691824,15,255.04614863761
1992-07-31,"P5",5264,219.333333333333,25.5,465.973563969932,163,32.6,30,25.0159948832742,0,NA,NA,NA,5427,217.08,30,463.743186832252
1992-08-31,"A3",1292,646,646,346.482322781408,283,56.6,30,57.3175365834925,67,8.375,8,4.65794252556089,1642,164.2,20.5,298.478288806554
1992-08-31,"G4",1512,504,148,735.714618585223,156,52,60,28.8444102037119,120,17.1428571428571,15,13.813382055439,1788,223.5,31,491.640983994273
1992-08-31,"None",28437,466.180327868852,409,403.160865668479,2871,51.2678571428571,31,46.5572925921009,1413,10.544776119403,7,12.4033803733637,32721,175.91935483871,15,333.336902785306
1992-08-31,"P5",6573,730.333333333333,493,865.181339373429,576,115.2,36,160.815733061165,538,24.4545454545455,20,14.7187191236429,7687,307.48,30,622.199533911751
1992-09-30,"A3",1279,639.5,639.5,354.26049737446,309,61.8,30,60.6976111556295,68,8.5,8,4.84030695602783,1656,165.6,21,296.255970403973
1992-09-30,"G4",1505,376.25,86,631.134098270724,293,97.6666666666667,76,90.4673053281313,113,16.1428571428571,15,14.4271569320798,1911,238.875,42,527.504214607401
1992-09-30,"None",28504,467.27868852459,461,394.909573242092,2967,53.9454545454545,32,49.2685077771375,1413,10.0928571428571,7,11.8089689293219,32884,170.383419689119,15,324.000254203082
1992-09-30,"P5",6947,694.7,446,822.419202380662,200,50,36,33.5459883344243,535,24.3181818181818,20,13.9877033195534,7682,307.28,30,623.505447717446
1992-10-31,"A3",1279,639.5,639.5,354.26049737446,309,61.8,30,60.6976111556295,66,8.25,8,4.74341649025257,1654,165.4,20.5,296.027476202238
1992-10-31,"G4",2103,525.75,372.5,602.744487047925,527,131.75,75.5,159.190399626778,111,13.875,11.5,13.8196288972296,2741,304.555555555556,24,578.417477068058
1992-10-31,"None",27616,445.41935483871,402.5,392.765042532609,3222,59.6666666666667,37.5,63.0842503443564,1343,9.73188405797101,7,11.6101766680715,32181,167.609375,14,323.888123848788
1992-10-31,"P5",6933,693.3,446,821.136482091876,194,48.5,33,35.1994318135961,525,23.8636363636364,19,13.7053880768719,7652,306.08,29,622.20956544667
1992-11-30,"A3",1288,644,644,343.653895656662,309,61.8,30,60.6976111556295,71,8.875,8,5.05505404803662,1668,166.8,20.5,297.005723850568
1992-11-30,"G4",2098,524.5,370.5,603.135418735572,527,131.75,75.5,159.190399626778,108,12,8,13.5092560861063,2733,273.3,19.5,553.680623946092
1992-11-30,"None",30141,494.114754098361,496,444.02173739434,3149,60.5576923076923,37.5,64.0748378197632,1340,9.92592592592593,6,12.0146860566245,34630,182.263157894737,13,359.171672282029
1992-11-30,"P5",11237,1021.54545454545,491,1303.99742052171,201,50.25,36,34.0428651359821,522,23.7272727272727,19,12.9290437836745,11960,460,28.5,979.886809789784
