"","Date","Mission","Type","Male","Male.mean","Male.med","Male.sd","Female","Female.mean","Female.med","Female.sd","Total","Total.mean","Total.med","Total.sd","female.perc"
"77",2009-12-31,"BINUB","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"78",2009-12-31,"BINUB","Experts on Mission",5,0.454545454545455,0,0.522232967867094,0,0,0,0,5,0.454545454545455,0,0.522232967867094,0
"79",2009-12-31,"BINUB","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"80",2009-12-31,"BINUB","Individual Police",10,0.909090909090909,1,0.943879807448539,0,0,0,0,10,0.909090909090909,1,0.943879807448539,0
"81",2009-12-31,"MINURCAT","Contingent Troops",2411,53.5777777777778,3,123.606871111029,78,1.73333333333333,0,6.48915178656586,2489,55.3111111111111,3,125.908664988522,0.0313378867014865
"82",2009-12-31,"MINURCAT","Experts on Mission",24,0.533333333333333,0,1.01354463506682,0,0,0,0,24,0.533333333333333,0,1.01354463506682,0
"83",2009-12-31,"MINURCAT","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"84",2009-12-31,"MINURCAT","Individual Police",239,5.31111111111111,0,8.32799829224019,25,0.555555555555556,0,1.47024357220706,264,5.86666666666667,0,9.27508882584273,0.0946969696969697
"85",2009-12-31,"MINURSO","Contingent Troops",22,0.758620689655172,0,3.03144440364883,5,0.172413793103448,0,0.928476690885259,27,0.931034482758621,0,3.89074941810479,0.185185185185185
"86",2009-12-31,"MINURSO","Experts on Mission",194,6.68965517241379,5,4.89973358077371,5,0.172413793103448,0,0.46820062223378,199,6.86206896551724,6,4.9693642733038,0.0251256281407035
"87",2009-12-31,"MINURSO","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"88",2009-12-31,"MINURSO","Individual Police",3,0.103448275862069,0,0.557086014531156,3,0.103448275862069,0,0.557086014531156,6,0.206896551724138,0,0.773642144332691,0.5
"89",2009-12-31,"MINUSTAH","Contingent Troops",6893,146.659574468085,0,329.668758433024,139,2.95744680851064,0,8.7649436288981,7032,149.617021276596,0,335.040915943339,0.0197667804323094
"90",2009-12-31,"MINUSTAH","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"91",2009-12-31,"MINUSTAH","Formed Police Units",1094,23.2765957446809,0,63.0402570231944,35,0.74468085106383,0,3.10307060482651,1129,24.0212765957447,0,64.1494482546682,0.0310008857395926
"92",2009-12-31,"MINUSTAH","Individual Police",843,17.936170212766,11,19.2708433236633,53,1.12765957446809,0,2.04957070029413,896,19.063829787234,12,20.5398914684478,0.0591517857142857
"93",2009-12-31,"MONUC","Contingent Troops",18273,326.303571428571,0,813.674804812717,373,6.66071428571429,0,25.1376405819236,18646,332.964285714286,0,819.447928664298,0.0200042904644428
"94",2009-12-31,"MONUC","Experts on Mission",676,12.0714285714286,6.5,12.8556420480477,29,0.517857142857143,0,1.25032463317,705,12.5892857142857,7.5,13.1270391118544,0.0411347517730496
"95",2009-12-31,"MONUC","Formed Police Units",870,15.5357142857143,0,67.5468764598373,16,0.285714285714286,0,1.5101388944463,886,15.8214285714286,0,68.8624735232497,0.018058690744921
"96",2009-12-31,"MONUC","Individual Police",256,4.57142857142857,0,7.79943387888947,16,0.285714285714286,0,0.802593199669574,272,4.85714285714286,0,8.2537673413221,0.0588235294117647
"97",2009-12-31,"UNAMA","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"98",2009-12-31,"UNAMA","Experts on Mission",16,1,1,0.365148371670111,1,0.0625,0,0.25,17,1.0625,1,0.442530601578392,0.0588235294117647
"99",2009-12-31,"UNAMA","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"100",2009-12-31,"UNAMA","Individual Police",3,0.1875,0,0.403112887414928,0,0,0,0,3,0.1875,0,0.403112887414928,0
"101",2009-12-31,"UNAMI","Contingent Troops",221,27.625,0,78.1352993211135,0,0,0,0,221,27.625,0,78.1352993211135,0
"102",2009-12-31,"UNAMI","Experts on Mission",11,1.375,1.5,0.744023809142845,0,0,0,0,11,1.375,1.5,0.744023809142845,0
"103",2009-12-31,"UNAMI","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"104",2009-12-31,"UNAMI","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"105",2009-12-31,"UNAMID","Contingent Troops",14715,294.3,2.5,738.952216013336,399,7.98,0,25.4994917916545,15114,302.28,3,755.905080964913,0.0263993648273124
"106",2009-12-31,"UNAMID","Experts on Mission",249,4.98,2,5.92638513904779,11,0.22,0,0.648074069840786,260,5.2,2.5,6.05754715631834,0.0423076923076923
"107",2009-12-31,"UNAMID","Formed Police Units",1726,34.52,0,96.9662764857463,83,1.66,0,9.70085205599204,1809,36.18,0,100.581714165597,0.0458817025981205
"108",2009-12-31,"UNAMID","Individual Police",2517,50.34,7,75.0283239034107,249,4.98,0,10.8561841682001,2766,55.32,8.5,82.936523551301,0.0900216919739696
"109",2009-12-31,"UNDOF","Contingent Troops",1014,144.857142857143,89,154.912263955471,29,4.14285714285714,1,5.17779140266618,1043,149,95,159.413508419665,0.0278044103547459
"110",2009-12-31,"UNDOF","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"111",2009-12-31,"UNDOF","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"112",2009-12-31,"UNDOF","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"113",2009-12-31,"UNFICYP","Contingent Troops",798,39.9,1,82.9641013044989,57,2.85,0,7.58304896324344,855,42.75,1,89.4449992718254,0.0666666666666667
"114",2009-12-31,"UNFICYP","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"115",2009-12-31,"UNFICYP","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"116",2009-12-31,"UNFICYP","Individual Police",51,2.55,0.5,3.66311630345415,15,0.75,0,1.55173926187427,66,3.3,0.5,5.13091763620054,0.227272727272727
"117",2009-12-31,"UNIFIL","Contingent Troops",11393,392.862068965517,127,556.14924282567,469,16.1724137931034,3,32.1759326266402,11862,409.034482758621,144,582.748934102023,0.039538020569887
"118",2009-12-31,"UNIFIL","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"119",2009-12-31,"UNIFIL","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"120",2009-12-31,"UNIFIL","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"121",2009-12-31,"UNMIK","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"122",2009-12-31,"UNMIK","Experts on Mission",9,0.642857142857143,1,0.497245158098847,0,0,0,0,9,0.642857142857143,1,0.497245158098847,0
"123",2009-12-31,"UNMIK","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"124",2009-12-31,"UNMIK","Individual Police",8,0.571428571428571,1,0.513552591013095,0,0,0,0,8,0.571428571428571,1,0.513552591013095,0
"125",2009-12-31,"UNMIL","Contingent Troops",9263,151.852459016393,0,527.542599735338,242,3.9672131147541,0,14.4694704039399,9505,155.819672131148,0,533.592057293357,0.0254602840610205
"126",2009-12-31,"UNMIL","Experts on Mission",110,1.80327868852459,1,2.42087912496781,8,0.131147540983607,0,0.427216176194425,118,1.9344262295082,2,2.52895797025189,0.0677966101694915
"127",2009-12-31,"UNMIL","Formed Police Units",714,11.7049180327869,0,47.3808485439335,130,2.13114754098361,0,13.4207245331441,844,13.8360655737705,0,54.3857151366879,0.154028436018957
"128",2009-12-31,"UNMIL","Individual Police",418,6.85245901639344,5,8.38617128685427,62,1.01639344262295,0,1.92779496903145,480,7.86885245901639,5,9.40297011558239,0.129166666666667
"129",2009-12-31,"UNMIN","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"130",2009-12-31,"UNMIN","Experts on Mission",68,3.77777777777778,4,2.21108319357027,4,0.222222222222222,0,0.942809041582063,72,4,4,2,0.0555555555555556
"131",2009-12-31,"UNMIN","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"132",2009-12-31,"UNMIN","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"133",2009-12-31,"UNMIS","Contingent Troops",8966,131.852941176471,0.5,430.447190745939,126,1.85294117647059,0,6.62033210575708,9092,133.705882352941,0.5,433.532937302433,0.0138583369995601
"134",2009-12-31,"UNMIS","Experts on Mission",465,6.83823529411765,6,6.26673352538136,11,0.161764705882353,0,0.40923277752206,476,7,6,6.34340649573628,0.023109243697479
"135",2009-12-31,"UNMIS","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"136",2009-12-31,"UNMIS","Individual Police",603,8.86764705882353,3.5,12.4719439313129,90,1.32352941176471,0,2.44608231681082,693,10.1911764705882,4,13.6504959758356,0.12987012987013
