"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
2006-05-31,"Polynesia","Oceania",1,NA,21,NA,21
2006-06-30,"Australia and New Zealand","Oceania",2,10,25,28,63
2006-06-30,"Melanesia","Oceania",2,134,20,8,162
2006-06-30,"Polynesia","Oceania",1,NA,34,NA,34
2006-07-31,"Australia and New Zealand","Oceania",2,10,25,27,62
2006-07-31,"Melanesia","Oceania",2,134,20,8,162
2006-07-31,"Polynesia","Oceania",1,NA,33,NA,33
2006-08-31,"Australia and New Zealand","Oceania",2,10,211,29,250
2006-08-31,"Melanesia","Oceania",2,223,50,8,281
2006-08-31,"Polynesia","Oceania",1,NA,35,NA,35
2006-09-30,"Australia and New Zealand","Oceania",2,10,123,35,168
2006-09-30,"Melanesia","Oceania",2,223,50,10,283
2006-09-30,"Polynesia","Oceania",1,NA,35,NA,35
2006-10-31,"Australia and New Zealand","Oceania",2,10,110,39,159
2006-10-31,"Melanesia","Oceania",2,223,67,10,300
2006-10-31,"Polynesia","Oceania",1,NA,50,NA,50
2006-11-30,"Australia and New Zealand","Oceania",2,11,97,39,147
2006-11-30,"Melanesia","Oceania",2,223,63,10,296
2006-11-30,"Polynesia","Oceania",1,NA,50,NA,50
2006-12-31,"Australia and New Zealand","Oceania",2,10,88,38,136
2006-12-31,"Melanesia","Oceania",2,223,63,9,295
2006-12-31,"Polynesia","Oceania",1,NA,50,NA,50
2007-01-31,"Australia and New Zealand","Oceania",2,10,100,39,149
2007-01-31,"Melanesia","Oceania",2,223,63,8,294
2007-01-31,"Polynesia","Oceania",1,NA,47,NA,47
2007-02-28,"Australia and New Zealand","Oceania",2,11,100,37,148
2007-02-28,"Melanesia","Oceania",2,223,63,8,294
2007-02-28,"Polynesia","Oceania",1,NA,46,NA,46
2007-03-31,"Australia and New Zealand","Oceania",2,10,100,38,148
2007-03-31,"Melanesia","Oceania",2,223,63,8,294
2007-03-31,"Polynesia","Oceania",1,NA,46,NA,46
2007-04-30,"Australia and New Zealand","Oceania",2,10,99,38,147
2007-04-30,"Melanesia","Oceania",2,223,61,8,292
2007-04-30,"Micronesia","Oceania",1,NA,1,NA,1
2007-04-30,"Polynesia","Oceania",1,NA,44,NA,44
2007-05-31,"Australia and New Zealand","Oceania",2,10,100,44,154
2007-05-31,"Melanesia","Oceania",2,223,55,7,285
2007-05-31,"Micronesia","Oceania",1,NA,1,NA,1
2007-05-31,"Polynesia","Oceania",1,NA,42,NA,42
2007-06-30,"Australia and New Zealand","Oceania",2,9,100,38,147
2007-06-30,"Melanesia","Oceania",2,223,48,8,279
2007-06-30,"Micronesia","Oceania",1,NA,1,NA,1
2007-06-30,"Polynesia","Oceania",1,NA,41,NA,41
2007-07-31,"Australia and New Zealand","Oceania",2,10,100,38,148
2007-07-31,"Melanesia","Oceania",2,223,49,8,280
2007-07-31,"Micronesia","Oceania",1,NA,1,NA,1
2007-07-31,"Polynesia","Oceania",1,NA,35,NA,35
2007-08-31,"Australia and New Zealand","Oceania",2,10,100,39,149
2007-08-31,"Melanesia","Oceania",2,223,42,8,273
2007-08-31,"Micronesia","Oceania",1,NA,1,NA,1
2007-08-31,"Polynesia","Oceania",1,NA,40,NA,40
2007-09-30,"Australia and New Zealand","Oceania",2,10,100,38,148
2007-09-30,"Melanesia","Oceania",2,223,48,9,280
2007-09-30,"Micronesia","Oceania",1,NA,1,NA,1
2007-09-30,"Polynesia","Oceania",1,NA,39,NA,39
2007-10-31,"Australia and New Zealand","Oceania",2,18,97,38,153
2007-10-31,"Melanesia","Oceania",2,223,39,8,270
2007-10-31,"Micronesia","Oceania",1,NA,1,NA,1
2007-10-31,"Polynesia","Oceania",1,NA,39,NA,39
2007-11-30,"Australia and New Zealand","Oceania",2,10,96,38,144
2007-11-30,"Melanesia","Oceania",2,223,46,8,277
2007-11-30,"Micronesia","Oceania",1,NA,1,NA,1
2007-11-30,"Polynesia","Oceania",1,NA,30,NA,30
2007-12-31,"Australia and New Zealand","Oceania",2,10,99,36,145
2007-12-31,"Melanesia","Oceania",1,223,38,8,269
2007-12-31,"Micronesia","Oceania",1,NA,1,NA,1
2007-12-31,"Polynesia","Oceania",1,NA,33,NA,33
2008-01-31,"Australia and New Zealand","Oceania",2,10,100,36,146
2008-01-31,"Melanesia","Oceania",2,223,51,8,282
2008-01-31,"Micronesia","Oceania",1,NA,1,NA,1
2008-01-31,"Polynesia","Oceania",1,NA,33,NA,33
2008-02-28,"Australia and New Zealand","Oceania",2,10,100,37,147
2008-02-28,"Melanesia","Oceania",2,220,51,8,279
2008-02-28,"Micronesia","Oceania",1,NA,1,NA,1
2008-02-28,"Polynesia","Oceania",1,NA,42,NA,42
2008-03-31,"Australia and New Zealand","Oceania",2,10,100,37,147
2008-03-31,"Melanesia","Oceania",2,219,51,3,273
2008-03-31,"Micronesia","Oceania",1,NA,1,NA,1
2008-03-31,"Polynesia","Oceania",1,NA,42,NA,42
2008-04-30,"Australia and New Zealand","Oceania",2,11,100,36,147
2008-04-30,"Melanesia","Oceania",2,219,51,8,278
2008-04-30,"Polynesia","Oceania",1,NA,38,NA,38
2008-05-31,"Australia and New Zealand","Oceania",2,11,100,36,147
2008-05-31,"Melanesia","Oceania",2,219,64,8,291
2008-05-31,"Polynesia","Oceania",1,NA,36,NA,36
2008-06-30,"Australia and New Zealand","Oceania",2,11,100,39,150
2008-06-30,"Melanesia","Oceania",2,222,64,6,292
2008-06-30,"Polynesia","Oceania",1,NA,29,NA,29
2008-07-31,"Australia and New Zealand","Oceania",2,11,99,39,149
2008-07-31,"Melanesia","Oceania",2,222,64,8,294
2008-07-31,"Polynesia","Oceania",1,NA,27,NA,27
2008-08-31,"Australia and New Zealand","Oceania",2,14,98,39,151
2008-08-31,"Melanesia","Oceania",2,222,64,8,294
2008-08-31,"Polynesia","Oceania",1,NA,24,NA,24
2008-09-30,"Australia and New Zealand","Oceania",2,10,99,36,145
2008-09-30,"Melanesia","Oceania",2,222,35,8,265
2008-09-30,"Polynesia","Oceania",1,NA,24,NA,24
2008-10-31,"Australia and New Zealand","Oceania",2,21,99,33,153
2008-10-31,"Melanesia","Oceania",2,222,64,8,294
2008-10-31,"Polynesia","Oceania",1,NA,21,NA,21
2008-11-30,"Australia and New Zealand","Oceania",2,18,100,38,156
2008-11-30,"Melanesia","Oceania",2,222,55,8,285
2008-11-30,"Micronesia","Oceania",1,NA,2,NA,2
2008-11-30,"Polynesia","Oceania",1,NA,21,NA,21
2008-12-31,"Australia and New Zealand","Oceania",2,18,100,39,157
2008-12-31,"Melanesia","Oceania",2,222,63,8,293
2008-12-31,"Micronesia","Oceania",1,NA,2,NA,2
2008-12-31,"Polynesia","Oceania",1,NA,21,NA,21
2009-01-31,"Australia and New Zealand","Oceania",2,18,101,37,156
2009-01-31,"Melanesia","Oceania",2,223,64,8,295
2009-01-31,"Micronesia","Oceania",1,NA,2,NA,2
2009-01-31,"Polynesia","Oceania",1,NA,20,NA,20
2009-02-28,"Australia and New Zealand","Oceania",2,15,101,37,153
2009-02-28,"Melanesia","Oceania",2,223,69,8,300
2009-02-28,"Micronesia","Oceania",1,NA,2,NA,2
2009-02-28,"Polynesia","Oceania",1,NA,20,NA,20
2009-03-31,"Australia and New Zealand","Oceania",2,15,99,37,151
