"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1999-05-31,"Central America","South America",2,NA,NA,17,17
1999-05-31,"Northern America","North America",2,368,250,46,664
1999-05-31,"South America","South America",5,582,203,48,833
1999-06-30,"Central America","South America",2,NA,NA,17,17
1999-06-30,"Northern America","North America",2,345,235,35,615
1999-06-30,"South America","South America",5,582,211,44,837
1999-07-31,"Central America","South America",2,NA,NA,14,14
1999-07-31,"Northern America","North America",2,351,254,47,652
1999-07-31,"South America","South America",6,592,188,49,829
1999-08-31,"Central America","South America",2,NA,3,14,17
1999-08-31,"Northern America","North America",2,264,434,46,744
1999-08-31,"South America","South America",7,592,234,54,880
1999-09-30,"Central America","South America",2,NA,3,14,17
1999-09-30,"Northern America","North America",2,248,732,54,1034
1999-09-30,"South America","South America",7,581,237,75,893
1999-10-31,"Central America","South America",2,NA,3,14,17
1999-10-31,"Northern America","North America",2,216,724,52,992
1999-10-31,"South America","South America",7,581,261,86,928
1999-11-30,"Central America","South America",2,NA,3,14,17
1999-11-30,"Northern America","North America",2,216,724,52,992
1999-11-30,"South America","South America",7,581,261,86,928
1999-12-31,"Central America","South America",2,NA,NA,14,14
1999-12-31,"Northern America","North America",2,193,785,53,1031
1999-12-31,"South America","South America",6,496,214,86,796
2000-01-31,"Central America","South America",2,NA,3,14,17
2000-01-31,"Northern America","North America",2,192,759,58,1009
2000-01-31,"South America","South America",7,490,235,92,817
2000-02-28,"Central America","South America",2,NA,3,14,17
2000-02-28,"Northern America","North America",2,356,869,59,1284
2000-02-28,"South America","South America",7,579,236,93,908
2000-03-31,"Central America","South America",2,NA,3,14,17
2000-03-31,"Northern America","North America",2,189,856,61,1106
2000-03-31,"South America","South America",7,597,117,100,814
2000-04-30,"Caribbean","South America",1,NA,16,NA,16
2000-04-30,"Central America","South America",2,NA,3,14,17
2000-04-30,"Northern America","North America",2,195,895,61,1151
2000-04-30,"South America","South America",7,597,128,101,826
2000-05-31,"Caribbean","South America",1,NA,16,NA,16
2000-05-31,"Central America","South America",2,NA,3,14,17
2000-05-31,"Northern America","North America",2,187,909,61,1157
2000-05-31,"South America","South America",8,597,101,112,810
2000-06-30,"Caribbean","South America",1,NA,16,NA,16
2000-06-30,"Central America","South America",2,NA,3,14,17
2000-06-30,"Northern America","North America",2,196,888,61,1145
2000-06-30,"South America","South America",8,599,110,109,818
2000-07-31,"Caribbean","South America",1,NA,15,NA,15
2000-07-31,"Central America","South America",2,NA,3,14,17
2000-07-31,"Northern America","North America",2,191,955,70,1216
2000-07-31,"South America","South America",8,600,96,111,807
2000-08-31,"Caribbean","South America",1,NA,15,NA,15
2000-08-31,"Central America","South America",2,NA,3,14,17
2000-08-31,"Northern America","North America",2,196,924,65,1185
2000-08-31,"South America","South America",8,621,91,110,822
2000-09-30,"Caribbean","South America",1,NA,15,NA,15
2000-09-30,"Central America","South America",2,NA,3,14,17
2000-09-30,"Northern America","North America",2,189,930,63,1182
2000-09-30,"South America","South America",8,618,91,112,821
2000-10-31,"Caribbean","South America",1,NA,15,NA,15
2000-10-31,"Central America","South America",2,NA,3,14,17
2000-10-31,"Northern America","North America",2,189,948,65,1202
2000-10-31,"South America","South America",8,621,57,116,794
2000-11-30,"Caribbean","South America",1,NA,15,NA,15
2000-11-30,"Central America","South America",2,NA,3,14,17
2000-11-30,"Northern America","North America",2,245,988,69,1302
2000-11-30,"South America","South America",8,624,50,112,786
2000-12-31,"Caribbean","South America",1,NA,15,NA,15
2000-12-31,"Central America","South America",2,NA,1,14,15
2000-12-31,"Northern America","North America",2,425,961,67,1453
2000-12-31,"South America","South America",8,618,39,108,765
2001-01-31,"Caribbean","South America",1,NA,15,NA,15
2001-01-31,"Central America","South America",2,NA,1,14,15
2001-01-31,"Northern America","North America",2,437,949,73,1459
2001-01-31,"South America","South America",9,606,80,103,789
2001-02-28,"Caribbean","South America",1,NA,15,NA,15
2001-02-28,"Central America","South America",2,NA,1,14,15
2001-02-28,"Northern America","North America",2,437,949,73,1459
2001-02-28,"South America","South America",9,606,80,103,789
2001-03-31,"Caribbean","South America",1,NA,15,NA,15
