"date","mission.continent","mission.un.region","n.missions","troops","police","observers","total"
1995-10-31,"Africa","Western Africa",1,7,0,66,73
1995-10-31,"Asia","Central Asia",1,0,0,44,44
1995-10-31,"Asia","Southern Asia",1,0,0,39,39
1995-10-31,"Asia","Western Asia",6,7841,80,590,8511
1995-10-31,"Europe","Southern Europe",3,34926,431,610,35967
1995-10-31,"South America","Caribbean",1,5957,732,0,6689
1995-11-30,"Africa","Eastern Africa",1,1823,85,284,2192
1995-11-30,"Africa","Middle Africa",1,5600,241,331,6172
1995-11-30,"Africa","Northern Africa",1,48,101,235,384
1995-11-30,"Africa","Western Africa",1,7,0,65,72
1995-11-30,"Asia","Central Asia",1,0,0,43,43
1995-11-30,"Asia","Southern Asia",1,0,0,44,44
1995-11-30,"Asia","Western Asia",6,7840,79,581,8500
1995-11-30,"Europe","Southern Europe",3,28720,357,524,29601
1995-11-30,"South America","Caribbean",1,5795,405,0,6200
1995-12-31,"Africa","Eastern Africa",1,1778,27,229,2034
1995-12-31,"Africa","Middle Africa",1,5836,252,349,6437
1995-12-31,"Africa","Northern Africa",1,48,90,232,370
1995-12-31,"Africa","Western Africa",1,8,0,69,77
1995-12-31,"Asia","Central Asia",1,0,0,40,40
1995-12-31,"Asia","Southern Asia",1,0,0,44,44
1995-12-31,"Asia","Western Asia",6,7814,80,572,8466
1995-12-31,"Europe","Southern Europe",3,6847,280,472,7599
1995-12-31,"South America","Caribbean",1,5665,369,0,6034
1996-01-31,"Africa","Eastern Africa",1,1507,12,157,1676
1996-01-31,"Africa","Middle Africa",1,6053,225,344,6622
1996-01-31,"Africa","Northern Africa",1,48,91,243,382
1996-01-31,"Africa","Western Africa",1,8,0,83,91
1996-01-31,"Asia","Central Asia",1,0,0,44,44
1996-01-31,"Asia","Southern Asia",1,0,0,44,44
1996-01-31,"Asia","Western Asia",6,7841,35,567,8443
1996-01-31,"Europe","Southern Europe",6,6014,419,268,6701
1996-01-31,"South America","Caribbean",1,4778,369,0,5147
1996-02-29,"Africa","Eastern Africa",1,1252,7,146,1405
1996-02-29,"Africa","Middle Africa",1,5954,258,355,6567
1996-02-29,"Africa","Northern Africa",1,48,79,240,367
1996-02-29,"Africa","Western Africa",1,8,0,83,91
