"date","mission.continent","n.missions","troops","police","observers","total"
2000-03-31,"Asia",9,14964,971,714,16649
2000-03-31,"Europe",3,0,4710,68,4778
2000-03-31,"South America",1,0,50,20,70
2000-04-30,"Africa",5,8184,103,601,8888
2000-04-30,"Asia",9,15746,1062,712,17520
2000-04-30,"Europe",3,0,4889,71,4960
2000-04-30,"South America",1,0,50,20,70
2000-05-31,"Africa",5,11464,108,697,12269
2000-05-31,"Asia",9,16023,1248,697,17968
2000-05-31,"Europe",3,0,5214,68,5282
2000-05-31,"South America",2,0,49,19,68
2000-06-30,"Africa",5,12206,120,735,13061
2000-06-30,"Asia",9,15959,1334,684,17977
2000-06-30,"Europe",3,0,5468,68,5536
2000-06-30,"South America",2,0,43,19,62
2000-07-31,"Africa",6,12214,72,750,13036
2000-07-31,"Asia",8,16685,1306,673,18664
2000-07-31,"Europe",3,0,5631,68,5699
2000-07-31,"South America",1,0,47,20,67
2000-08-31,"Africa",5,12210,71,749,13030
2000-08-31,"Asia",8,16531,1377,664,18572
2000-08-31,"Europe",3,0,5706,69,5775
2000-08-31,"South America",1,0,47,18,65
2000-09-30,"Africa",4,12289,68,779,13136
2000-09-30,"Asia",8,16617,1454,673,18744
2000-09-30,"Europe",3,0,5801,69,5870
2000-09-30,"South America",1,0,44,9,53
2000-10-31,"Africa",4,12313,81,779,13173
2000-10-31,"Asia",8,16618,1451,659,18728
2000-10-31,"Europe",3,0,5954,71,6025
2000-10-31,"South America",1,0,44,14,58
2000-11-30,"Africa",4,12600,65,785,13450
2000-11-30,"Asia",8,16597,1477,650,18724
2000-11-30,"Europe",3,0,6231,69,6300
2000-11-30,"South America",1,0,36,11,47
2000-12-31,"Africa",4,11821,65,791,12677
2000-12-31,"Asia",8,16716,1415,615,18746
2000-12-31,"Europe",3,0,6228,71,6299
2000-12-31,"South America",1,0,20,4,24
2001-01-31,"Africa",4,12906,92,770,13768
2001-01-31,"Asia",8,16722,1555,622,18899
2001-01-31,"Europe",3,88,6264,69,6421
2001-01-31,"South America",1,1,10,3,14
2001-02-28,"Africa",4,12906,92,770,13768
2001-02-28,"Asia",8,16722,1555,622,18899
2001-02-28,"Europe",3,88,6264,69,6421
2001-02-28,"South America",1,1,10,3,14
2001-03-31,"Africa",4,15702,81,884,16667
2001-03-31,"Asia",8,16826,1416,618,18860
2001-03-31,"Europe",3,0,6044,70,6114
2001-03-31,"South America",1,0,9,4,13
2001-04-30,"Africa",4,16263,87,956,17306
2001-04-30,"Asia",8,16962,1449,618,19029
2001-04-30,"Europe",3,0,6235,70,6305
2001-04-30,"South America",1,0,10,4,14
2001-05-31,"Africa",4,17825,70,1025,18920
2001-05-31,"Asia",8,16784,1392,493,18669
2001-05-31,"Europe",3,0,6224,70,6294
2001-05-31,"South America",1,0,10,4,14
2001-06-30,"Africa",4,16815,71,1042,17928
2001-06-30,"Asia",8,16677,1461,609,18747
2001-06-30,"Europe",3,0,6155,68,6223
2001-06-30,"South America",1,0,10,4,14
2001-07-31,"Africa",4,19815,72,1054,20941
2001-07-31,"Asia",8,15636,1503,606,17745
2001-07-31,"Europe",3,0,6061,68,6129
2001-07-31,"South America",1,0,9,4,13
2001-08-31,"Africa",4,22096,83,1063,23242
2001-08-31,"Asia",8,15678,1524,626,17828
2001-08-31,"Europe",3,0,6012,69,6081
2001-08-31,"South America",1,0,9,3,12
