"date","tcc.continent","n.contributors","troops","police","observers","total"
1995-02-28,"Oceania",3,2015,19,43,2077
1995-02-28,"South America",11,1315,81,184,1580
1995-03-31,"Africa",19,6512,386,496,7394
1995-03-31,"Asia",12,14978,611,531,16120
1995-03-31,"Europe",26,26356,477,890,27723
1995-03-31,"North America",2,6152,145,118,6415
1995-03-31,"Oceania",3,2013,29,56,2098
1995-03-31,"South America",14,1639,191,181,2011
1995-04-30,"Africa",19,5670,360,505,6535
1995-04-30,"Asia",12,16636,620,536,17792
1995-04-30,"Europe",26,25404,512,897,26813
1995-04-30,"North America",2,6079,145,117,6341
1995-04-30,"Oceania",3,2181,30,41,2252
1995-04-30,"South America",16,1661,220,181,2062
1995-05-31,"Africa",20,6508,431,516,7455
1995-05-31,"Asia",13,16874,667,528,18069
1995-05-31,"Europe",27,26579,474,911,27964
1995-05-31,"North America",2,6173,103,115,6391
1995-05-31,"Oceania",3,2019,28,42,2089
1995-05-31,"South America",16,2713,217,177,3107
1995-06-30,"Africa",20,6506,393,507,7406
1995-06-30,"Asia",13,16242,659,523,17424
1995-06-30,"Europe",27,28840,446,912,30198
1995-06-30,"North America",2,6117,103,115,6335
1995-06-30,"Oceania",3,2049,30,43,2122
1995-06-30,"South America",16,2723,214,175,3112
1995-07-31,"Africa",20,4713,363,504,5580
1995-07-31,"Asia",13,15686,645,522,16853
1995-07-31,"Europe",27,33237,415,926,34578
1995-07-31,"North America",2,5993,99,117,6209
1995-07-31,"Oceania",3,1229,30,42,1301
1995-07-31,"South America",16,2379,214,177,2770
1995-08-31,"Africa",21,4422,376,497,5295
1995-08-31,"Asia",13,16411,595,507,17513
1995-08-31,"Europe",27,34736,423,914,36073
1995-08-31,"North America",2,6061,87,105,6253
1995-08-31,"Oceania",3,913,30,42,985
1995-08-31,"South America",16,2383,213,175,2771
1995-09-30,"Africa",21,3253,400,487,4140
1995-09-30,"Asia",13,14362,591,516,15469
1995-09-30,"Europe",27,32446,473,906,33825
1995-09-30,"North America",2,5312,97,101,5510
1995-09-30,"Oceania",3,907,30,43,980
1995-09-30,"South America",15,2265,144,165,2574
1995-10-31,"Africa",21,3019,388,482,3889
1995-10-31,"Asia",13,14618,533,523,15674
1995-10-31,"Europe",27,29626,477,867,30970
1995-10-31,"North America",2,5192,96,101,5389
1995-10-31,"Oceania",3,875,30,42,947
1995-10-31,"South America",15,2876,145,179,3200
1995-11-30,"Africa",21,3009,379,455,3843
1995-11-30,"Asia",12,10628,176,489,11293
1995-11-30,"Europe",25,28008,448,847,29303
1995-11-30,"North America",2,4464,95,101,4660
1995-11-30,"Oceania",3,876,30,42,948
1995-11-30,"South America",15,2848,140,173,3161
1995-12-31,"Africa",19,2861,286,424,3571
1995-12-31,"Asia",12,7367,172,465,8004
1995-12-31,"Europe",25,10490,411,818,11719
1995-12-31,"North America",2,3821,93,100,4014
1995-12-31,"Oceania",3,682,30,40,752
1995-12-31,"South America",14,2775,106,160,3041
1996-01-31,"Africa",19,2784,272,373,3429
1996-01-31,"Asia",12,8018,241,400,8659
1996-01-31,"Europe",25,9219,475,689,10383
1996-01-31,"North America",2,3220,93,92,3405
1996-01-31,"Oceania",3,641,30,37,708
1996-01-31,"South America",9,2367,40,159,2566
1996-02-29,"Africa",19,2614,293,354,3261
1996-02-29,"Asia",13,6201,300,383,6884
1996-02-29,"Europe",25,8833,596,651,10080
1996-02-29,"North America",2,2953,93,77,3123
1996-02-29,"Oceania",3,600,30,36,666
1996-02-29,"South America",8,2187,33,145,2365
1996-03-31,"Africa",18,2461,347,272,3080
1996-03-31,"Asia",13,5723,651,362,6736
1996-03-31,"Europe",25,9223,702,623,10548
1996-03-31,"North America",2,1645,108,75,1828
1996-03-31,"Oceania",3,596,80,34,710
1996-03-31,"South America",9,2370,61,125,2556
1996-04-30,"Africa",16,2226,385,237,2848
1996-04-30,"Asia",13,5840,661,330,6831
1996-04-30,"Europe",25,9518,822,618,10958
1996-04-30,"North America",2,1509,198,75,1782
1996-04-30,"Oceania",3,592,77,35,704
